x;y;type
95;1;tree
51;91;tree
80;53;tree
39;49;tree
70;69;tree
60;50;tree
95;75;tree
65;76;tree
78;41;tree
61;59;tree
52;50;tree
45;92;tree
70;86;tree
59;73;tree
60;12;tree
58;94;tree
48;0;tree
81;89;tree
61;9;tree
90;4;tree
5;75;tree
51;56;tree
7;21;tree
48;88;tree
59;13;tree
30;53;tree
19;34;tree
23;2;tree
31;21;tree
19;34;tree
98;54;tree
14;3;tree
60;62;tree
37;18;tree
63;16;tree
63;1;tree
63;40;tree
51;1;tree
71;8;tree
33;21;tree
85;70;tree
25;91;tree
46;48;tree
4;70;tree
8;73;tree
56;38;tree
29;22;tree
97;90;tree
2;80;tree
54;1;tree
13;4;tree
97;55;tree
35;63;tree
30;73;tree
75;92;tree
64;62;tree
71;18;tree
89;91;tree
50;47;tree
29;1;tree
6;58;tree
4;81;tree
29;64;tree
85;79;tree
58;37;tree
95;48;tree
34;11;tree
89;43;tree
11;87;tree
41;40;tree
47;47;tree
85;21;tree
12;86;tree
35;8;tree
57;67;tree
20;35;tree
50;85;tree
73;86;tree
62;92;tree
94;94;tree
79;80;tree
66;44;tree
33;28;tree
99;90;tree
23;68;tree
67;38;tree
63;26;tree
30;71;tree
9;76;tree
59;57;tree
7;76;tree
7;42;tree
43;39;tree
72;91;tree
75;64;tree
62;30;tree
7;54;tree
84;22;tree
25;41;tree
97;11;tree
1;82;tree
43;27;tree
21;28;tree
58;47;tree
8;86;tree
67;0;tree
67;30;tree
55;8;tree
99;25;tree
85;2;tree
75;39;tree
64;91;tree
84;80;tree
44;70;tree
90;2;tree
15;60;tree
76;69;tree
84;15;tree
20;62;tree
11;0;tree
64;1;tree
54;5;tree
21;99;tree
6;26;tree
10;28;tree
67;75;tree
22;9;tree
87;52;tree
48;38;tree
18;29;tree
82;62;tree
41;63;tree
12;56;tree
99;88;tree
31;22;tree
1;64;tree
58;95;tree
99;27;tree
97;38;tree
81;7;tree
25;65;tree
50;98;tree
85;99;tree
20;56;tree
57;46;tree
37;63;tree
7;57;tree
76;23;tree
71;95;tree
92;27;tree
98;45;tree
2;92;tree
34;46;tree
25;31;tree
17;45;tree
7;89;tree
57;54;tree
44;35;tree
57;53;tree
59;20;tree
62;57;tree
97;9;tree
40;68;tree
87;45;tree
16;3;tree
33;78;tree
49;62;tree
49;77;tree
3;2;tree
10;3;tree
67;86;tree
15;96;tree
70;31;tree
33;19;tree
54;12;tree
22;51;tree
73;67;tree
2;34;tree
22;85;tree
55;3;tree
7;79;tree
33;59;tree
9;58;tree
10;45;tree
52;99;tree
4;18;tree
44;99;tree
26;25;tree
86;93;tree
29;88;tree
25;28;tree
21;28;tree
49;35;tree
91;80;tree
87;71;tree
22;0;tree
21;96;tree
6;12;tree
25;82;tree
14;51;tree
78;66;tree
1;41;tree
20;6;tree
1;43;tree
55;37;tree
5;84;tree
23;98;tree
14;88;tree
13;65;tree
1;85;tree
13;30;tree
27;36;tree
68;94;tree
82;25;tree
43;11;tree
92;48;tree
4;29;tree
42;6;tree
21;86;tree
29;72;tree
30;39;tree
29;17;tree
84;54;tree
53;23;tree
35;57;tree
40;10;tree
0;40;tree
50;75;tree
28;26;tree
66;34;tree
32;59;tree
87;47;tree
35;11;tree
25;15;tree
15;28;tree
66;40;tree
46;94;tree
99;77;tree
82;20;tree
84;70;tree
79;83;tree
27;86;tree
47;67;tree
1;76;tree
21;92;tree
2;81;tree
37;50;tree
93;65;tree
2;94;tree
94;64;tree
30;57;animal
89;67;animal
79;38;animal
78;10;animal
5;26;animal
62;70;animal
65;83;animal
97;88;animal
17;82;animal
75;90;animal
22;67;animal
81;72;animal
8;25;animal
14;6;animal
57;50;animal
81;91;animal
12;56;animal
74;15;animal
26;46;animal
1;69;animal
2;1;animal
21;75;animal
86;32;animal
83;39;animal
26;77;animal
48;91;animal
30;81;animal
94;83;animal
53;43;animal
43;34;animal
77;88;animal
23;14;animal
19;86;animal
24;20;animal
0;36;animal
35;42;animal
68;56;animal
89;20;animal
12;80;animal
26;67;animal
11;21;animal
82;10;animal
15;89;animal
55;65;animal
91;75;animal
25;51;animal
3;20;animal
90;95;animal
0;74;animal
54;12;animal
19;53;animal
95;11;animal
76;90;animal
43;62;animal
58;54;animal
10;22;animal
25;88;animal
62;19;animal
27;96;animal
99;26;animal
62;86;animal
81;10;animal
16;19;animal
61;91;animal
48;60;animal
93;43;animal
46;99;animal
19;8;animal
54;87;animal
2;90;animal
3;34;animal
9;30;animal
91;58;animal
28;65;animal
97;96;animal
38;48;animal
48;47;animal
99;81;animal
22;81;animal
98;80;animal
69;55;animal
54;11;animal
27;21;animal
68;80;animal
35;84;animal
85;74;animal
52;74;animal
76;24;animal
57;13;animal
11;29;animal
6;97;animal
69;98;animal
61;88;animal
90;96;animal
12;42;animal
22;90;animal
37;65;animal
1;23;animal
66;36;animal
84;5;animal
22;90;human
37;65;human
1;23;human
66;36;human
84;5;human

