x;y;type
0;0;tree
1;0;tree
2;0;tree
3;0;tree
4;0;tree
5;0;tree
6;0;tree
7;0;tree
8;0;tree
9;0;tree
10;0;tree
11;0;tree
12;0;tree
13;0;tree
14;0;tree
15;0;tree
16;0;tree
17;0;tree
18;0;tree
19;0;tree
20;0;tree
21;0;tree
22;0;tree
23;0;tree
24;0;tree
25;0;tree
26;0;tree
27;0;tree
28;0;tree
29;0;tree
30;0;tree
31;0;tree
32;0;tree
33;0;tree
34;0;tree
35;0;tree
36;0;tree
37;0;tree
38;0;tree
39;0;tree
40;0;tree
41;0;tree
42;0;tree
43;0;tree
44;0;tree
45;0;tree
46;0;tree
47;0;tree
48;0;tree
49;0;tree
50;0;tree
51;0;tree
52;0;tree
53;0;tree
54;0;tree
55;0;tree
56;0;tree
57;0;tree
58;0;tree
59;0;tree
60;0;tree
61;0;tree
62;0;tree
63;0;tree
64;0;tree
65;0;tree
66;0;tree
67;0;tree
68;0;tree
69;0;tree
70;0;tree
71;0;tree
72;0;tree
73;0;tree
74;0;tree
75;0;tree
76;0;tree
77;0;tree
78;0;tree
79;0;tree
80;0;tree
81;0;tree
82;0;tree
83;0;tree
84;0;tree
85;0;tree
86;0;tree
87;0;tree
88;0;tree
89;0;tree
90;0;tree
91;0;tree
92;0;tree
93;0;tree
94;0;tree
95;0;tree
96;0;tree
97;0;tree
98;0;tree
99;0;tree
100;0;tree
101;0;tree
102;0;tree
103;0;tree
104;0;tree
105;0;tree
106;0;tree
107;0;tree
108;0;tree
109;0;tree
110;0;tree
111;0;tree
112;0;tree
113;0;tree
114;0;tree
115;0;tree
116;0;tree
0;1;tree
1;1;tree
2;1;tree
3;1;tree
4;1;tree
5;1;tree
6;1;tree
7;1;tree
8;1;tree
9;1;tree
10;1;tree
11;1;tree
12;1;tree
13;1;tree
14;1;tree
15;1;tree
16;1;tree
17;1;tree
18;1;tree
19;1;tree
20;1;tree
21;1;tree
22;1;tree
23;1;tree
24;1;tree
25;1;tree
26;1;tree
27;1;tree
28;1;tree
29;1;tree
30;1;tree
31;1;tree
32;1;tree
33;1;tree
34;1;tree
35;1;tree
36;1;tree
37;1;tree
38;1;tree
39;1;tree
40;1;tree
41;1;tree
42;1;tree
43;1;tree
44;1;tree
45;1;tree
46;1;tree
47;1;tree
48;1;tree
49;1;tree
50;1;tree
51;1;tree
52;1;tree
53;1;tree
54;1;tree
55;1;tree
56;1;tree
57;1;tree
58;1;tree
59;1;tree
60;1;tree
61;1;tree
62;1;tree
63;1;tree
64;1;tree
65;1;tree
66;1;tree
67;1;tree
68;1;tree
69;1;tree
70;1;tree
71;1;tree
72;1;tree
73;1;tree
74;1;tree
75;1;tree
76;1;tree
77;1;tree
78;1;tree
79;1;tree
80;1;tree
81;1;tree
82;1;tree
83;1;tree
84;1;tree
85;1;tree
86;1;tree
87;1;tree
88;1;tree
89;1;tree
90;1;tree
91;1;tree
92;1;tree
93;1;tree
94;1;tree
95;1;tree
96;1;tree
97;1;tree
98;1;tree
99;1;tree
100;1;tree
101;1;tree
102;1;tree
103;1;tree
104;1;tree
105;1;tree
106;1;tree
107;1;tree
108;1;tree
109;1;tree
110;1;tree
111;1;tree
112;1;tree
113;1;tree
114;1;tree
115;1;tree
116;1;tree
0;2;tree
1;2;tree
2;2;tree
3;2;tree
4;2;tree
5;2;tree
6;2;tree
7;2;tree
8;2;tree
9;2;tree
10;2;tree
11;2;tree
12;2;tree
13;2;tree
14;2;tree
15;2;tree
16;2;tree
17;2;tree
18;2;tree
19;2;tree
20;2;tree
