x;y;type
-38.11366562861902;-29.040214204389;tree
-25.463436855883632;-51.93211309772039;tree
-16.461305463584594;-17.297080009825414;tree
-17.168661753486987;-31.674892212476088;tree
-25.463299116796783;-26.897641116188765;tree
-36.747237985086585;-33.66161294246531;tree
-37.784302223188064;-11.370572915212662;tree
-22.710451174225668;-54.180611843142565;tree
-12.777497369359772;-42.685909105727006;tree
-51.69506480689296;-45.74892999923492;tree
-48.09679078789392;-24.27153902835262;tree
-28.37056807741081;-23.067893965327485;tree
-54.88235628895936;-12.543593916976477;tree
-43.83156392130425;-29.81707508441353;tree
-18.854649179033714;-26.537285984331792;tree
-32.74840177333816;-54.86025618004769;tree
-21.52475327808243;-51.82056294506344;tree
-27.908129667727394;-10.165534485870396;tree
-14.794023413085561;-30.721778628389135;tree
-50.80916541360494;-52.72681394198565;tree
-23.46761345857842;-32.72668358072113;tree
-37.94454292774439;-24.40027159965781;tree
-47.95962241551814;-51.13197358624526;tree
-23.129223079456416;-34.29403596677197;tree
-23.73251807830559;-19.804510408019127;tree
-19.288949168684056;-32.3450342506133;tree
-36.936497109808485;-17.793046901866134;tree
-55.19264468468927;-16.454474271080237;tree
-20.80323587659837;-40.69423746852435;tree
-10.3814830777172;-28.21609190342527;tree
-46.9193164791623;-48.59307388606172;tree
-27.125485085163863;-53.72659550884433;tree
-47.85460077060054;-32.101782090870906;tree
-33.85367285837025;-19.14756343575641;tree
-42.75014837120295;-26.410721802387936;tree
-21.885598946105063;-36.44104457815389;tree
-26.828046976419614;-46.70399236349405;tree
-43.248047630184416;-15.19373142174117;tree
-45.576345659840314;-48.95517944443886;tree
-27.984226102179242;-18.650444925347045;tree
-23.20967064093049;-23.138839853515698;tree
-12.958887757368203;-24.744145934293048;tree
-17.007555678976686;-10.324934637439831;tree
-9.731226027846908;-27.099792970382673;tree
-48.70929429285388;-15.142036988157301;tree
-32.630800424714565;-9.689933053800694;tree
-54.6418800537813;-49.235303919285734;tree
-52.70032281280052;-38.7223342475833;tree
-24.044434718728642;-40.14675103610358;tree
-44.96707825922512;-18.461441378187722;tree
-14.611772098651166;-11.587220345242287;tree
-55.00423355659337;-38.912923021485284;tree
-17.43122896918993;-49.27791925445154;tree
-52.69482181715347;-9.812891437102301;tree
-40.52551427218228;-14.86882314803961;tree
-12.261184509399165;-10.632788035793297;tree
-50.09921078266095;-27.929693279631973;tree
-35.32655074402915;-41.6948891319191;tree
-37.986267043398016;-46.8239104739131;tree
-11.0385052794783;-55.28584850523668;tree
-39.058017211986716;-23.633411795460383;tree
-27.581380964583655;-18.118151243245237;tree
-35.88307103743672;-41.64384931645862;tree
-23.297381476473618;-32.152363841709956;tree
-21.91700343914284;-54.6211124276447;tree
-36.56200049315361;-39.500849864443396;tree
-40.486373515498435;-35.360270548819784;tree
-11.576956474519733;-48.239611309313865;tree
-41.89136250839031;-22.046313394076314;tree
-28.62834402034056;-39.4041309497833;tree
-34.7234334918723;-23.948728189762683;tree
-13.405884627903895;-47.40167888903098;tree
-30.211033009398708;-53.201030989269164;tree
-10.866370179362278;-28.53467370697312;tree
-19.18993108830245;-21.860210768153486;tree
-42.18618336696729;-13.888179804910209;tree
-40.378945730892;-22.57332477163814;tree
-51.94528093512494;-29.256237611417266;tree
-15.834686491427803;-25.449561424627937;tree
-41.40377616162461;-35.515239880956926;tree
-49.72046523592452;-47.25369929061663;tree
-28.148698605304443;-27.693737945662924;tree
-18.637485954075395;-25.45458960279941;tree
-10.976754098271627;-49.71013815581272;tree
-39.135441107339446;-12.111182938154514;tree
-9.749627708313845;-29.772726941327544;tree
-38.32242003985685;-19.285198276172068;tree
-50.946815517296734;-45.99397785957367;tree
-28.71573884079209;-52.64083450894197;tree
-36.15811516325667;-10.990978911976313;tree
-55.64156923127191;-25.491136607582575;tree
-55.28127789968645;-16.359673558935143;tree
-50.761047102059976;-14.318530219830315;tree
-24.910156596080736;-20.082887530620297;tree
-16.45205965726681;-35.792263142566355;tree
-25.134441594763818;-53.83489030677606;tree
-37.620783093005834;-18.454991656102116;tree
-15.076708318626032;-39.02969549335219;tree
-10.879100241658278;-35.47240167330574;tree
-35.246883371271;-46.81909564542326;tree
-53.04353705601761;-40.834920518613615;tree
-30.191510722072202;-28.97936270460756;tree
-46.24702612108376;-50.59593166662126;tree
