x;y;waterlevel;nutrients
331;238;57;23
331;237;76;21
331;236;46;92
331;235;18;56
331;234;99;16
331;233;72;74
331;232;17;11
331;231;57;92
331;230;65;76
331;229;78;30
331;228;29;50
331;227;42;31
331;226;75;94
331;225;34;94
331;224;47;39
331;223;47;91
331;222;33;32
331;221;46;62
331;220;91;23
331;219;82;92
331;218;53;47
331;217;22;26
331;216;13;20
331;215;42;27
331;214;16;64
331;213;11;67
331;212;46;10
331;211;15;36
331;210;34;68
331;209;10;12
331;208;45;89
331;207;80;79
331;206;25;45
331;205;58;60
331;204;85;34
331;203;18;60
331;202;49;28
331;201;92;88
331;200;72;49
331;199;27;84
331;198;97;32
331;197;64;44
331;196;27;78
331;195;97;13
331;194;72;13
331;193;33;98
331;192;35;83
331;191;45;73
331;190;11;10
331;189;27;76
331;188;19;15
331;187;19;60
331;186;11;73
331;185;10;77
331;184;94;49
331;183;49;33
331;182;82;51
331;181;89;74
331;180;99;21
331;179;31;63
331;178;41;56
331;177;94;30
331;176;29;43
331;175;47;41
331;174;37;19
331;173;99;14
331;172;36;28
331;171;86;44
331;170;12;91
331;169;37;73
331;168;95;32
331;167;56;62
331;166;61;83
331;165;39;39
331;164;83;80
331;163;24;22
331;162;31;53
331;161;83;79
331;160;85;84
331;159;43;26
331;158;98;82
331;157;66;87
331;156;11;19
331;155;40;64
331;154;95;28
331;153;95;30
331;152;86;36
331;151;20;53
331;150;21;55
331;149;21;53
331;148;82;85
331;147;40;40
331;146;19;80
331;145;27;89
331;144;83;36
331;143;41;60
331;142;10;80
331;141;95;99
331;140;14;80
331;139;80;33
331;138;28;30
331;137;86;89
331;136;43;17
331;135;37;45
331;134;23;41
331;133;70;55
331;132;67;46
331;131;71;28
331;130;16;89
331;129;92;76
331;128;96;99
331;127;15;93
331;126;74;64
331;125;70;79
331;124;78;44
331;123;71;96
331;122;85;83
331;121;75;47
331;120;36;32
331;119;72;95
331;118;62;39
331;117;16;42
331;116;26;23
331;115;18;91
331;114;54;73
331;113;34;79
331;112;49;26
331;111;29;40
331;110;88;67
331;109;52;40
331;108;17;31
331;107;11;31
331;106;75;94
331;105;38;32
331;104;60;55
331;103;37;27
331;102;48;38
331;101;42;23
331;100;58;81
331;99;35;40
331;98;58;90
331;97;64;55
331;96;79;12
331;95;52;51
331;94;74;68
331;93;32;63
331;92;21;41
331;91;66;31
331;90;26;20
331;89;90;33
331;88;99;57
331;87;64;78
331;86;29;12
331;85;77;32
331;84;38;57
331;83;13;98
331;82;74;47
331;81;26;20
331;80;87;57
331;79;14;82
331;78;80;15
331;77;22;73
331;76;78;27
331;75;79;31
331;74;67;40
331;73;39;82
331;72;28;93
331;71;33;12
331;70;64;30
331;69;10;18
331;68;95;52
331;67;50;35
331;66;39;75
331;65;89;79
331;64;72;90
331;63;13;74
331;62;47;95
331;61;87;24
331;60;34;25
331;59;22;57
331;58;44;46
331;57;20;37
331;56;17;36
331;55;65;77
331;54;82;96
331;53;38;61
331;52;97;99
331;51;19;64
331;50;75;88
331;49;74;37
331;48;76;39
331;47;41;69
331;46;23;24
331;45;35;37
331;44;92;51
331;43;97;38
331;42;95;71
331;41;19;31
331;40;50;68
331;39;26;77
331;38;39;63
331;37;95;13
331;36;47;40
331;35;42;40
331;34;43;79
331;33;41;13
331;32;36;70
331;31;56;76
331;30;90;12
331;29;49;69
331;28;48;91
331;27;37;21
331;26;74;75
331;25;55;86
331;24;39;28
331;23;76;26
331;22;75;49
331;21;57;91
331;20;89;49
331;19;17;25
331;18;76;68
331;17;11;85
331;16;26;31
331;15;93;26
331;14;53;48
331;13;46;15
331;12;14;26
331;11;76;43
331;10;24;99
331;9;44;74
331;8;23;88
331;7;50;18
331;6;43;94
331;5;44;39
331;4;57;51
331;3;22;83
331;2;41;91
331;1;85;37
331;0;40;82
330;238;10;85
330;237;26;75
330;236;45;14
330;235;14;66
330;234;36;66
330;233;83;43
330;232;50;14
330;231;82;24
330;230;46;62
330;229;13;99
330;228;51;16
330;227;89;24
330;226;55;62
330;225;78;45
330;224;23;91
330;223;52;52
330;222;63;61
330;221;17;93
330;220;51;24
330;219;14;53
330;218;43;72
330;217;49;88
330;216;51;97
330;215;83;16
330;214;19;57
330;213;23;75
330;212;98;63
330;211;26;84
330;210;37;59
330;209;62;48
330;208;89;62
330;207;26;60
330;206;73;56
330;205;83;94
330;204;59;28
330;203;50;39
330;202;84;83
330;201;48;20
330;200;97;51
330;199;49;98
330;198;16;16
330;197;11;98
330;196;62;78
330;195;31;69
330;194;63;49
330;193;85;81
330;192;50;52
330;191;70;46
330;190;25;92
330;189;13;85
330;188;63;81
330;187;43;95
330;186;12;13
330;185;12;81
330;184;26;56
330;183;12;77
330;182;54;63
330;181;82;62
330;180;41;77
330;179;87;68
330;178;10;34
330;177;51;82
330;176;57;25
330;175;61;79
330;174;55;63
330;173;93;76
330;172;30;88
330;171;49;10
330;170;87;83
330;169;71;52
330;168;62;81
330;167;48;26
330;166;64;37
330;165;94;72
330;164;13;37
330;163;80;90
330;162;53;93
330;161;94;24
330;160;58;44
330;159;70;32
330;158;73;31
330;157;32;17
330;156;33;77
330;155;64;51
330;154;17;94
330;153;47;62
330;152;93;62
330;151;35;12
330;150;13;51
330;149;84;29
330;148;43;97
330;147;40;40
330;146;84;70
330;145;41;17
330;144;52;71
330;143;98;73
330;142;51;46
330;141;21;18
330;140;26;46
330;139;92;11
330;138;64;56
330;137;16;53
330;136;65;90
330;135;50;70
330;134;51;89
330;133;45;41
330;132;80;98
330;131;65;70
330;130;79;99
330;129;30;28
330;128;98;33
330;127;30;98
330;126;64;27
330;125;21;48
330;124;62;35
330;123;99;97
330;122;32;74
330;121;96;19
330;120;78;95
330;119;74;94
330;118;59;50
330;117;99;19
330;116;96;18
330;115;84;62
330;114;70;72
330;113;37;86
330;112;98;91
330;111;97;55
330;110;22;24
330;109;80;83
330;108;58;45
330;107;97;13
330;106;19;41
330;105;68;33
330;104;38;77
330;103;29;96
330;102;68;61
330;101;41;10
330;100;35;42
330;99;31;96
330;98;36;44
330;97;82;25
330;96;44;18
330;95;32;59
330;94;48;65
330;93;93;90
330;92;42;13
330;91;73;61
330;90;80;33
330;89;31;64
330;88;93;42
330;87;58;91
330;86;30;83
330;85;90;15
330;84;31;36
330;83;63;91
330;82;39;52
330;81;23;75
330;80;60;35
330;79;82;34
330;78;33;51
330;77;17;50
330;76;19;77
330;75;34;51
330;74;43;59
330;73;10;67
330;72;72;64
330;71;45;29
330;70;99;66
330;69;36;13
330;68;51;66
330;67;25;69
330;66;68;52
330;65;97;30
330;64;86;25
330;63;86;75
330;62;68;42
330;61;55;94
330;60;64;69
330;59;94;30
330;58;74;49
330;57;65;56
330;56;29;87
330;55;90;38
330;54;99;95
330;53;28;73
330;52;94;47
330;51;57;64
330;50;84;50
330;49;82;11
330;48;69;38
330;47;91;60
330;46;77;97
330;45;20;63
330;44;27;34
330;43;93;24
330;42;14;65
330;41;45;91
330;40;42;87
330;39;17;74
330;38;72;24
330;37;72;90
330;36;81;79
330;35;56;58
330;34;91;25
330;33;98;48
330;32;10;39
330;31;97;89
330;30;76;25
330;29;44;13
330;28;70;62
330;27;90;50
330;26;58;48
330;25;84;64
330;24;64;81
330;23;46;61
330;22;25;33
330;21;53;77
330;20;41;94
330;19;49;76
330;18;30;86
330;17;21;96
330;16;39;80
330;15;54;54
330;14;76;78
330;13;96;80
330;12;37;28
330;11;20;94
330;10;73;57
330;9;17;79
330;8;87;34
330;7;75;93
330;6;16;99
330;5;27;50
330;4;10;93
330;3;10;34
330;2;20;77
330;1;67;40
330;0;65;49
329;238;48;14
329;237;90;88
329;236;98;37
329;235;34;87
329;234;57;11
329;233;78;28
329;232;36;39
329;231;32;33
329;230;15;52
329;229;29;36
329;228;73;41
329;227;77;21
329;226;99;42
329;225;29;75
329;224;10;33
329;223;68;83
329;222;10;99
329;221;81;12
329;220;34;21
329;219;98;32
329;218;28;72
329;217;46;57
329;216;91;28
329;215;97;43
329;214;26;14
329;213;13;81
329;212;98;47
329;211;83;60
329;210;83;45
329;209;74;40
329;208;62;80
329;207;75;96
329;206;88;96
329;205;41;10
329;204;72;95
329;203;81;90
329;202;94;66
329;201;33;94
329;200;95;40
329;199;78;37
329;198;49;78
329;197;15;84
329;196;32;38
329;195;43;40
329;194;52;16
329;193;56;68
329;192;42;21
329;191;80;29
329;190;26;15
329;189;59;42
329;188;63;47
329;187;77;87
329;186;34;78
329;185;20;67
329;184;37;14
329;183;47;73
329;182;45;66
329;181;37;36
329;180;97;51
329;179;86;51
329;178;57;77
329;177;45;43
329;176;30;97
329;175;72;54
329;174;39;36
329;173;66;62
329;172;96;68
329;171;58;84
329;170;13;30
329;169;26;83
329;168;37;61
329;167;15;46
329;166;26;41
329;165;30;91
329;164;86;19
329;163;25;69
329;162;59;54
329;161;60;69
329;160;44;65
329;159;50;28
329;158;72;15
329;157;43;85
329;156;45;78
329;155;29;78
329;154;10;21
329;153;53;93
329;152;62;38
329;151;85;75
329;150;64;19
329;149;77;87
329;148;27;14
329;147;60;58
329;146;65;67
329;145;44;43
329;144;60;40
329;143;10;29
329;142;18;55
329;141;94;80
329;140;22;73
329;139;41;53
329;138;52;49
329;137;54;62
329;136;30;19
329;135;63;59
329;134;35;21
329;133;18;46
329;132;25;34
329;131;92;94
329;130;67;35
329;129;48;90
329;128;43;42
329;127;33;23
329;126;71;70
329;125;29;93
329;124;13;74
329;123;70;40
329;122;31;66
329;121;21;55
329;120;18;62
329;119;20;11
329;118;48;33
329;117;71;88
329;116;43;57
329;115;12;70
329;114;99;43
329;113;41;66
329;112;27;51
329;111;45;83
329;110;43;64
329;109;50;67
329;108;71;17
329;107;73;52
329;106;42;92
329;105;32;67
329;104;99;60
329;103;26;92
329;102;30;45
329;101;99;10
329;100;92;43
329;99;78;55
329;98;74;26
329;97;51;42
329;96;73;74
329;95;90;81
329;94;26;97
329;93;59;58
329;92;39;78
329;91;83;80
329;90;93;33
329;89;76;69
329;88;80;23
329;87;38;11
329;86;90;15
329;85;59;36
329;84;97;87
329;83;81;44
329;82;81;15
329;81;80;54
329;80;73;75
329;79;53;40
329;78;41;21
329;77;99;97
329;76;88;19
329;75;35;42
329;74;66;69
329;73;46;39
329;72;34;17
329;71;88;94
329;70;64;75
329;69;18;87
329;68;73;50
329;67;80;96
329;66;19;81
329;65;24;26
329;64;78;48
329;63;41;45
329;62;68;30
329;61;55;41
329;60;18;45
329;59;43;93
329;58;54;56
329;57;29;62
329;56;31;94
329;55;86;29
329;54;93;70
329;53;56;46
329;52;35;86
329;51;71;65
329;50;42;37
329;49;89;54
329;48;39;77
329;47;57;86
329;46;38;17
329;45;56;77
329;44;51;34
329;43;57;44
329;42;15;78
329;41;90;97
329;40;85;20
329;39;45;42
329;38;28;43
329;37;67;20
329;36;86;49
329;35;75;19
329;34;76;39
329;33;23;13
329;32;68;74
329;31;20;56
329;30;93;79
329;29;28;61
329;28;61;45
329;27;75;20
329;26;77;49
329;25;61;31
329;24;30;93
329;23;23;77
329;22;92;89
329;21;64;46
329;20;13;25
329;19;64;56
329;18;95;18
329;17;75;54
329;16;35;20
329;15;87;96
329;14;77;70
329;13;60;50
329;12;99;84
329;11;80;78
329;10;57;97
329;9;98;42
329;8;57;83
329;7;99;40
329;6;65;17
329;5;44;73
329;4;85;73
329;3;55;32
329;2;64;20
329;1;56;14
329;0;43;87
328;238;72;90
328;237;74;80
328;236;64;93
328;235;77;18
328;234;96;11
328;233;11;34
328;232;60;47
328;231;75;31
328;230;31;66
328;229;52;61
328;228;75;86
328;227;39;69
328;226;28;69
328;225;57;42
328;224;36;46
328;223;68;92
328;222;25;39
328;221;36;94
328;220;41;85
328;219;54;83
328;218;33;35
328;217;60;26
328;216;78;62
328;215;39;36
328;214;85;73
328;213;84;98
328;212;99;28
328;211;53;93
328;210;90;72
328;209;91;29
328;208;17;57
328;207;71;14
328;206;89;64
328;205;27;30
328;204;14;35
328;203;73;77
328;202;86;14
328;201;90;66
328;200;94;91
328;199;74;41
328;198;75;51
328;197;40;58
328;196;69;29
328;195;91;87
328;194;32;66
328;193;82;29
328;192;19;72
328;191;26;38
328;190;98;89
328;189;48;57
328;188;34;16
328;187;90;30
328;186;92;71
328;185;49;22
328;184;54;35
328;183;95;81
328;182;60;82
328;181;21;68
328;180;15;51
328;179;14;29
328;178;53;34
328;177;58;49
328;176;78;63
328;175;80;92
328;174;25;80
328;173;38;32
328;172;28;68
328;171;50;62
328;170;71;61
328;169;84;79
328;168;10;42
328;167;38;13
328;166;12;23
328;165;91;64
328;164;40;29
328;163;82;53
328;162;31;32
328;161;61;18
328;160;17;27
328;159;87;98
328;158;42;17
328;157;91;62
328;156;94;12
328;155;45;60
328;154;78;47
328;153;68;90
328;152;29;71
328;151;24;95
328;150;29;74
328;149;56;49
328;148;76;92
328;147;95;68
328;146;48;39
328;145;23;54
328;144;84;59
328;143;73;79
328;142;37;80
328;141;70;64
328;140;24;78
328;139;49;38
328;138;35;30
328;137;95;76
328;136;28;97
328;135;15;94
328;134;29;32
328;133;29;74
328;132;89;11
328;131;49;41
328;130;18;51
328;129;58;30
328;128;11;38
328;127;65;73
328;126;24;85
328;125;75;69
328;124;66;17
328;123;82;49
328;122;13;43
328;121;31;60
328;120;64;62
328;119;39;79
328;118;97;44
328;117;22;28
328;116;63;30
328;115;99;81
328;114;28;92
328;113;53;80
328;112;36;34
328;111;10;68
328;110;16;35
328;109;54;12
328;108;84;54
328;107;64;64
328;106;93;83
328;105;56;17
328;104;37;24
328;103;79;36
328;102;22;79
328;101;70;83
328;100;90;28
328;99;14;34
328;98;75;63
328;97;11;28
328;96;15;83
328;95;22;93
328;94;48;57
328;93;46;50
328;92;45;12
328;91;18;56
328;90;67;86
328;89;56;37
328;88;87;80
328;87;58;60
328;86;28;19
328;85;25;64
328;84;54;78
328;83;21;47
328;82;99;75
328;81;35;15
328;80;98;55
328;79;81;66
328;78;71;36
328;77;45;26
328;76;44;31
328;75;95;86
328;74;61;67
328;73;73;95
328;72;91;76
328;71;67;64
328;70;75;97
328;69;96;73
328;68;15;26
328;67;44;69
328;66;14;24
328;65;55;32
328;64;67;70
328;63;24;69
328;62;98;68
328;61;71;25
328;60;88;94
328;59;55;73
328;58;33;65
328;57;35;74
328;56;88;99
328;55;46;41
328;54;72;94
328;53;95;49
328;52;48;32
328;51;78;49
328;50;14;38
328;49;85;88
328;48;60;93
328;47;58;40
328;46;86;51
328;45;55;62
328;44;39;89
328;43;15;40
328;42;91;89
328;41;33;95
328;40;45;11
328;39;82;75
328;38;69;93
328;37;83;27
328;36;48;92
328;35;36;71
328;34;67;37
328;33;11;35
328;32;46;40
328;31;33;63
328;30;48;38
328;29;19;63
328;28;65;38
328;27;97;51
328;26;55;75
328;25;79;77
328;24;16;36
328;23;78;74
328;22;22;53
328;21;39;21
328;20;22;88
328;19;19;64
328;18;86;76
328;17;85;85
328;16;37;70
328;15;95;26
328;14;46;72
328;13;35;53
328;12;71;94
328;11;15;68
328;10;89;79
328;9;49;72
328;8;66;63
328;7;26;53
328;6;98;36
328;5;92;47
328;4;35;17
328;3;45;31
328;2;74;12
328;1;88;77
328;0;45;62
327;238;25;54
327;237;18;37
327;236;20;84
327;235;51;37
327;234;31;91
327;233;21;95
327;232;20;55
327;231;18;63
327;230;39;14
327;229;27;67
327;228;31;65
327;227;83;26
327;226;48;91
327;225;92;90
327;224;63;44
327;223;51;81
327;222;45;51
327;221;72;15
327;220;72;10
327;219;20;68
327;218;23;69
327;217;42;31
327;216;15;95
327;215;76;64
327;214;65;71
327;213;77;51
327;212;30;95
327;211;10;43
327;210;86;77
327;209;29;21
327;208;23;66
327;207;95;98
327;206;93;95
327;205;61;71
327;204;32;42
327;203;34;79
327;202;58;69
327;201;60;57
327;200;41;79
327;199;64;19
327;198;85;15
327;197;38;96
327;196;47;24
327;195;64;83
327;194;10;32
327;193;66;66
327;192;42;42
327;191;13;81
327;190;94;44
327;189;67;40
327;188;97;17
327;187;81;22
327;186;37;39
327;185;38;68
327;184;47;53
327;183;13;63
327;182;35;10
327;181;12;91
327;180;15;49
327;179;59;55
327;178;44;43
327;177;20;19
327;176;10;30
327;175;40;23
327;174;47;80
327;173;95;60
327;172;83;78
327;171;40;27
327;170;21;72
327;169;79;34
327;168;41;94
327;167;53;81
327;166;64;38
327;165;87;52
327;164;17;82
327;163;14;63
327;162;73;97
327;161;95;62
327;160;27;68
327;159;87;46
327;158;26;82
327;157;32;12
327;156;75;66
327;155;71;79
327;154;76;43
327;153;70;54
327;152;74;37
327;151;72;38
327;150;97;26
327;149;55;27
327;148;81;86
327;147;81;81
327;146;97;29
327;145;82;99
327;144;80;52
327;143;96;10
327;142;64;81
327;141;13;81
327;140;96;90
327;139;95;43
327;138;53;73
327;137;90;68
327;136;82;44
327;135;17;82
327;134;38;82
327;133;12;57
327;132;99;29
327;131;99;67
327;130;58;28
327;129;12;29
327;128;12;75
327;127;15;31
327;126;24;96
327;125;72;59
327;124;26;14
327;123;61;15
327;122;72;50
327;121;93;82
327;120;10;95
327;119;15;90
327;118;56;36
327;117;77;89
327;116;14;34
327;115;88;37
327;114;29;43
327;113;22;46
327;112;50;10
327;111;24;88
327;110;77;66
327;109;44;54
327;108;68;60
327;107;92;87
327;106;86;47
327;105;39;69
327;104;49;25
327;103;93;25
327;102;73;77
327;101;52;92
327;100;70;12
327;99;12;45
327;98;78;19
327;97;21;23
327;96;71;76
327;95;12;99
327;94;35;67
327;93;54;54
327;92;26;23
327;91;77;38
327;90;34;81
327;89;74;49
327;88;83;47
327;87;60;48
327;86;67;57
327;85;65;86
327;84;15;22
327;83;67;59
327;82;98;87
327;81;10;41
327;80;32;29
327;79;40;27
327;78;54;73
327;77;17;25
327;76;78;71
327;75;17;66
327;74;68;55
327;73;36;72
327;72;12;79
327;71;17;48
327;70;21;49
327;69;51;47
327;68;77;35
327;67;78;74
327;66;63;39
327;65;20;98
327;64;82;32
327;63;31;63
327;62;51;47
327;61;17;66
327;60;41;25
327;59;89;13
327;58;43;18
327;57;65;82
327;56;40;33
327;55;91;95
327;54;61;28
327;53;10;43
327;52;87;65
327;51;39;28
327;50;82;83
327;49;80;73
327;48;59;19
327;47;87;22
327;46;40;44
327;45;83;58
327;44;30;67
327;43;31;30
327;42;43;32
327;41;68;15
327;40;81;45
327;39;59;97
327;38;58;12
327;37;74;50
327;36;13;31
327;35;61;59
327;34;28;65
327;33;21;92
327;32;53;56
327;31;11;24
327;30;90;37
327;29;58;96
327;28;96;59
327;27;15;14
327;26;86;69
327;25;98;96
327;24;95;21
327;23;84;84
327;22;24;20
327;21;67;22
327;20;89;33
327;19;59;27
327;18;91;11
327;17;44;62
327;16;10;14
327;15;13;76
327;14;98;72
327;13;99;29
327;12;89;24
327;11;12;63
327;10;89;35
327;9;14;67
327;8;33;56
327;7;39;98
327;6;36;54
327;5;87;23
327;4;95;25
327;3;39;81
327;2;10;66
327;1;49;79
327;0;79;48
326;238;36;84
326;237;79;71
326;236;37;43
326;235;57;77
326;234;46;61
326;233;59;73
326;232;19;88
326;231;41;77
326;230;45;20
326;229;76;16
326;228;48;35
326;227;92;56
326;226;31;25
326;225;15;50
326;224;98;98
326;223;50;25
326;222;50;79
326;221;92;15
326;220;12;60
326;219;13;68
326;218;92;60
326;217;64;20
326;216;47;25
326;215;40;18
326;214;75;71
326;213;36;22
326;212;65;41
326;211;86;72
326;210;94;14
326;209;52;67
326;208;10;71
326;207;21;21
326;206;57;16
326;205;30;59
326;204;94;38
326;203;52;36
326;202;98;69
326;201;23;25
326;200;18;73
326;199;19;69
326;198;84;81
326;197;49;45
326;196;78;48
326;195;57;70
326;194;30;37
326;193;21;66
326;192;54;76
326;191;30;33
326;190;93;22
326;189;92;52
326;188;71;65
326;187;87;95
326;186;88;90
326;185;64;17
326;184;29;72
326;183;87;30
326;182;99;39
326;181;86;65
326;180;61;34
326;179;75;32
326;178;94;18
326;177;96;23
326;176;84;11
326;175;13;93
326;174;55;10
326;173;98;78
326;172;98;86
326;171;94;78
326;170;47;75
326;169;45;13
326;168;40;35
326;167;43;20
326;166;88;38
326;165;74;71
326;164;82;33
326;163;85;23
326;162;57;69
326;161;31;95
326;160;11;10
326;159;82;15
326;158;47;21
326;157;92;62
326;156;29;53
326;155;72;31
326;154;83;40
326;153;29;18
326;152;95;97
326;151;56;85
326;150;43;82
326;149;13;42
326;148;82;94
326;147;89;45
326;146;63;24
326;145;93;35
326;144;62;33
326;143;41;27
326;142;75;36
326;141;64;66
326;140;85;13
326;139;40;17
326;138;56;49
326;137;64;82
326;136;34;31
326;135;34;61
326;134;70;49
326;133;64;35
326;132;23;35
326;131;11;77
326;130;59;90
326;129;80;22
326;128;85;64
326;127;70;98
326;126;81;72
326;125;36;61
326;124;20;92
326;123;78;78
326;122;31;50
326;121;90;38
326;120;25;87
326;119;71;27
326;118;68;71
326;117;99;15
326;116;68;57
326;115;80;57
326;114;84;80
326;113;65;85
326;112;24;21
326;111;87;57
326;110;25;56
326;109;24;89
326;108;47;65
326;107;11;77
326;106;67;39
326;105;53;83
326;104;76;65
326;103;17;98
326;102;73;50
326;101;72;12
326;100;78;66
326;99;83;62
326;98;48;47
326;97;50;32
326;96;53;28
326;95;69;78
326;94;95;31
326;93;53;26
326;92;89;36
326;91;47;29
326;90;31;98
326;89;51;75
326;88;37;35
326;87;92;25
326;86;12;69
326;85;32;35
326;84;51;84
326;83;58;72
326;82;63;52
326;81;34;97
326;80;77;81
326;79;33;83
326;78;92;75
326;77;15;77
326;76;77;10
326;75;38;39
326;74;22;12
326;73;36;18
326;72;28;55
326;71;55;34
326;70;12;49
326;69;66;96
326;68;62;38
326;67;83;21
326;66;13;34
326;65;31;77
326;64;47;82
326;63;19;15
326;62;40;60
326;61;97;88
326;60;80;36
326;59;30;28
326;58;22;46
326;57;74;15
326;56;10;28
326;55;59;18
326;54;59;87
326;53;60;22
326;52;94;45
326;51;30;46
326;50;87;74
326;49;80;11
326;48;89;77
326;47;90;44
326;46;39;11
326;45;32;20
326;44;70;27
326;43;45;49
326;42;91;87
326;41;97;83
326;40;46;54
326;39;76;47
326;38;75;50
326;37;12;60
326;36;62;88
326;35;30;15
326;34;28;13
326;33;40;68
326;32;99;95
326;31;38;29
326;30;52;16
326;29;87;95
326;28;86;14
326;27;31;12
326;26;58;40
326;25;70;27
326;24;28;87
326;23;40;19
326;22;41;44
326;21;57;27
326;20;82;39
326;19;20;77
326;18;29;24
326;17;31;37
326;16;29;33
326;15;69;45
326;14;69;87
326;13;41;19
326;12;38;77
326;11;16;89
326;10;80;96
326;9;54;92
326;8;10;90
326;7;62;33
326;6;72;62
326;5;34;78
326;4;54;56
326;3;50;11
326;2;12;17
326;1;44;28
326;0;24;61
325;238;36;16
325;237;75;71
325;236;27;83
325;235;98;62
325;234;70;39
325;233;23;82
325;232;66;28
325;231;45;69
325;230;36;78
325;229;19;63
325;228;21;26
325;227;17;81
325;226;17;51
325;225;47;65
325;224;12;20
325;223;66;89
325;222;82;99
325;221;14;39
325;220;76;10
325;219;76;82
325;218;66;76
325;217;92;76
325;216;90;79
325;215;60;81
325;214;60;44
325;213;50;14
325;212;62;88
325;211;74;42
325;210;54;93
325;209;98;52
325;208;52;16
325;207;51;83
325;206;83;53
325;205;68;28
325;204;89;26
325;203;40;76
325;202;46;60
325;201;80;28
325;200;85;55
325;199;60;96
325;198;20;62
325;197;64;68
325;196;16;63
325;195;28;31
325;194;69;40
325;193;49;31
325;192;28;33
325;191;40;89
325;190;76;25
325;189;19;36
325;188;92;58
325;187;70;16
325;186;56;87
325;185;31;71
325;184;71;56
325;183;28;37
325;182;22;89
325;181;39;31
325;180;60;56
325;179;77;72
325;178;63;67
325;177;10;54
325;176;76;25
325;175;47;22
325;174;44;28
325;173;89;71
325;172;60;80
325;171;12;52
325;170;61;22
325;169;77;46
325;168;32;49
325;167;44;31
325;166;22;12
325;165;36;47
325;164;45;45
325;163;84;91
325;162;30;92
325;161;27;93
325;160;52;19
325;159;25;87
325;158;35;78
325;157;78;54
325;156;72;15
325;155;11;26
325;154;10;65
325;153;12;71
325;152;44;70
325;151;42;77
325;150;48;89
325;149;98;19
325;148;68;29
325;147;44;35
325;146;28;63
325;145;79;87
325;144;50;33
325;143;44;78
325;142;27;62
325;141;90;25
325;140;59;93
325;139;20;21
325;138;47;73
325;137;57;22
325;136;19;79
325;135;57;78
325;134;71;52
325;133;58;19
325;132;35;37
325;131;21;91
325;130;99;47
325;129;46;99
325;128;74;79
325;127;61;69
325;126;37;15
325;125;28;13
325;124;47;70
325;123;46;58
325;122;84;61
325;121;44;48
325;120;79;43
325;119;11;51
325;118;62;31
325;117;55;61
325;116;38;52
325;115;40;23
325;114;53;18
325;113;47;95
325;112;31;66
325;111;85;41
325;110;84;47
325;109;20;31
325;108;71;92
325;107;68;64
325;106;92;98
325;105;44;67
325;104;44;65
325;103;65;62
325;102;98;46
325;101;37;16
325;100;35;69
325;99;26;60
325;98;10;26
325;97;84;18
325;96;60;93
325;95;11;65
325;94;19;43
325;93;75;81
325;92;92;71
325;91;39;63
325;90;94;67
325;89;85;46
325;88;61;28
325;87;63;81
325;86;75;14
325;85;92;34
325;84;24;61
325;83;66;87
325;82;49;50
325;81;17;33
325;80;60;21
325;79;86;49
325;78;48;31
325;77;15;96
325;76;89;49
325;75;12;88
325;74;89;20
325;73;42;66
325;72;64;48
325;71;99;74
325;70;44;11
325;69;76;35
325;68;29;86
325;67;98;63
325;66;83;96
325;65;61;13
325;64;83;61
325;63;38;67
325;62;97;53
325;61;98;31
325;60;64;30
325;59;22;62
325;58;83;76
325;57;13;89
325;56;18;14
325;55;78;51
325;54;42;20
325;53;18;97
325;52;94;55
325;51;60;67
325;50;14;60
325;49;48;79
325;48;37;58
325;47;31;31
325;46;18;14
325;45;32;27
325;44;33;34
325;43;14;52
325;42;57;23
325;41;28;88
325;40;77;31
325;39;68;67
325;38;90;93
325;37;84;35
325;36;29;50
325;35;19;81
325;34;18;96
325;33;56;74
325;32;68;45
325;31;50;89
325;30;45;34
325;29;58;77
325;28;25;77
325;27;57;80
325;26;58;22
325;25;10;72
325;24;20;65
325;23;51;27
325;22;96;48
325;21;23;84
325;20;24;33
325;19;73;48
325;18;60;40
325;17;50;24
325;16;65;57
325;15;84;45
325;14;63;83
325;13;44;51
325;12;61;85
325;11;22;43
325;10;77;77
325;9;45;10
325;8;57;45
325;7;51;23
325;6;17;73
325;5;32;19
