x;y;waterlevel;nutrients
99;99;35;84
99;98;85;26
99;97;69;98
99;96;82;42
99;95;85;20
99;94;37;56
99;93;53;21
99;92;80;34
99;91;76;96
99;90;76;22
99;89;44;62
99;88;70;75
99;87;63;60
99;86;58;83
99;85;84;27
99;84;98;33
99;83;50;27
99;82;51;11
99;81;80;73
99;80;62;24
99;79;65;66
99;78;44;60
99;77;44;94
99;76;69;43
99;75;85;61
99;74;65;33
99;73;81;93
99;72;44;57
99;71;78;98
99;70;99;80
99;69;92;93
99;68;31;50
99;67;48;19
99;66;83;41
99;65;31;67
99;64;76;89
99;63;84;33
99;62;34;76
99;61;57;36
99;60;67;87
99;59;47;25
99;58;46;80
99;57;42;91
99;56;78;13
99;55;85;59
99;54;73;64
99;53;33;46
99;52;98;98
99;51;90;94
99;50;77;96
99;49;61;75
99;48;53;91
99;47;40;73
99;46;92;73
99;45;54;66
99;44;75;85
99;43;39;89
99;42;81;20
99;41;90;57
99;40;53;22
99;39;91;46
99;38;71;89
99;37;35;62
99;36;68;95
99;35;34;66
99;34;53;99
99;33;33;15
99;32;82;65
99;31;84;32
99;30;33;75
99;29;77;78
99;28;90;46
99;27;38;25
99;26;94;96
99;25;40;97
99;24;46;92
99;23;77;60
99;22;53;84
99;21;31;20
99;20;78;10
99;19;97;67
99;18;54;35
99;17;42;45
99;16;89;92
99;15;95;21
99;14;97;33
99;13;51;45
99;12;50;46
99;11;95;22
99;10;74;40
99;9;48;54
99;8;81;11
99;7;77;96
99;6;91;94
99;5;58;51
99;4;50;99
99;3;66;70
99;2;82;57
99;1;93;98
99;0;72;41
98;99;33;88
98;98;79;55
98;97;32;90
98;96;62;49
98;95;38;48
98;94;35;57
98;93;73;20
98;92;57;53
98;91;60;68
98;90;99;95
98;89;94;70
98;88;55;36
98;87;83;80
98;86;44;77
98;85;81;80
98;84;36;70
98;83;89;16
98;82;75;46
98;81;72;14
98;80;82;45
98;79;51;60
98;78;43;90
98;77;97;12
98;76;70;80
98;75;39;19
98;74;40;27
98;73;93;73
98;72;57;38
98;71;99;20
98;70;77;22
98;69;56;83
98;68;87;59
98;67;75;47
98;66;73;93
98;65;61;21
98;64;73;21
98;63;35;18
98;62;56;66
98;61;75;51
98;60;83;10
98;59;36;97
98;58;75;65
98;57;62;99
98;56;61;95
98;55;53;96
98;54;63;96
98;53;73;88
98;52;39;17
98;51;54;85
98;50;58;76
98;49;32;72
98;48;38;87
98;47;47;26
98;46;89;39
98;45;37;73
98;44;82;15
98;43;99;67
98;42;60;13
98;41;98;35
98;40;38;49
98;39;50;62
98;38;51;23
98;37;66;14
98;36;51;13
98;35;34;33
98;34;30;73
98;33;86;77
98;32;96;90
98;31;58;38
98;30;82;60
98;29;93;61
98;28;33;73
98;27;90;34
98;26;61;24
98;25;30;19
98;24;76;96
98;23;93;53
98;22;40;21
98;21;85;47
98;20;85;16
98;19;34;47
98;18;45;18
98;17;36;65
98;16;33;63
98;15;41;15
98;14;63;81
98;13;41;93
98;12;32;35
98;11;91;75
98;10;90;96
98;9;89;77
98;8;34;22
98;7;61;17
98;6;69;97
98;5;43;19
98;4;92;59
98;3;61;61
98;2;60;59
98;1;52;25
98;0;54;37
97;99;52;14
97;98;62;57
97;97;91;53
97;96;93;27
97;95;54;77
97;94;60;44
97;93;76;39
97;92;97;68
97;91;51;23
97;90;92;80
97;89;76;52
97;88;74;17
97;87;92;77
97;86;42;22
97;85;81;23
97;84;66;42
97;83;72;84
97;82;99;45
97;81;49;30
97;80;83;14
97;79;61;73
97;78;41;56
97;77;57;36
97;76;37;21
97;75;51;68
97;74;75;66
97;73;60;90
97;72;60;19
97;71;90;64
97;70;62;47
97;69;70;48
97;68;90;70
97;67;52;93
97;66;79;63
97;65;34;85
97;64;71;83
97;63;55;58
97;62;36;38
97;61;34;58
97;60;69;45
97;59;66;85
97;58;61;10
97;57;62;33
97;56;47;53
97;55;80;23
97;54;42;87
97;53;46;45
97;52;78;87
97;51;41;69
97;50;86;77
97;49;63;48
97;48;67;56
97;47;50;36
97;46;53;99
97;45;41;56
97;44;88;51
97;43;86;16
97;42;96;79
97;41;31;58
97;40;36;97
97;39;83;99
97;38;66;79
97;37;52;26
97;36;40;34
97;35;78;24
97;34;76;65
97;33;65;57
97;32;69;56
97;31;35;18
97;30;76;14
97;29;46;84
97;28;36;36
97;27;51;95
97;26;45;51
97;25;44;82
97;24;96;81
97;23;72;57
97;22;66;80
97;21;62;34
97;20;77;81
97;19;53;83
97;18;95;56
97;17;34;70
97;16;84;84
97;15;65;99
97;14;60;28
97;13;49;69
97;12;82;21
97;11;79;55
97;10;49;80
97;9;75;53
97;8;98;36
97;7;40;45
97;6;37;67
97;5;79;78
97;4;57;48
97;3;54;80
97;2;76;32
97;1;69;13
97;0;37;71
96;99;74;88
96;98;62;74
96;97;83;37
96;96;43;83
96;95;56;90
96;94;36;17
